chromosome	pos	gpos
22	16051347	0.0
22	16052618	0.00010291
22	16053624	0.00018471999999999998
22	16053659	0.00018755999999999997
22	16053758	0.00019560999999999998
22	16054713	0.00027325
22	16054960	0.00029307
22	16055070	0.0003019
22	16055171	0.00030764
22	16055207	0.00030969
22	16059734	0.00056726
22	16061016	0.00062391
22	16061342	0.00063832
22	16069374	0.00099336
22	16072292	0.00111915
22	16076927	0.00131839
22	16079493	0.00142871
22	16099437	0.00228612
22	16100059	0.00231293
22	16102325	0.00241093
22	16103902	0.00247919
22	16110036	0.0027446700000000003
22	16112336	0.00284422
22	16136814	0.00390489
22	16140628	0.00407071
22	16173179	0.0055007499999999996
22	16201033	0.00672541
22	16227431	0.00788606
22	16231423	0.00806195
22	16252600	0.0089951
22	16267521	0.009653150000000001
22	16299536	0.010826849999999999
22	16317416	0.011614770000000002
22	16343553	0.01276835
22	16343811	0.01277974
22	16344414	0.01280635
22	16344572	0.012813330000000001
22	16345582	0.0128579
22	16346071	0.01287904
22	16347194	0.0129266
22	16351379	0.013100670000000002
22	16351604	0.0131088
22	16351852	0.01311561
22	16352357	0.01312867
22	16364825	0.01333714
22	16407120	0.014040809999999999
22	16473585	0.01411484
22	16477443	0.014119139999999999
22	16489239	0.014132510000000001
22	16494095	0.01413851
22	16494187	0.014138630000000001
22	16494473	0.01413901
22	16494682	0.01413929
22	16504399	0.014150860000000001
22	16509940	0.01415718
22	16529569	0.01417956
22	16560750	0.01421502
22	16587208	0.01424511
22	16598987	0.014258519999999998
22	16609899	0.01427114
22	16616145	0.014279440000000001
22	16619031	0.0142841
22	16628321	0.01430369
22	16629152	0.01430576
22	16630874	0.014310709999999999
22	16631921	0.014314279999999999
22	16632034	0.01431466
22	16633820	0.01432075
22	16644918	0.01436685
22	16649282	0.01438498
22	16660797	0.014432259999999999
22	16662015	0.014437390000000001
22	16682084	0.01452391
22	16690041	0.01457757
22	16851640	0.015853950000000002
22	16852708	0.01585931
22	16853706	0.015864259999999998
22	16854402	0.01586781
22	16855274	0.01587307
22	16855303	0.01587384
22	16855476	0.0158785
22	16855618	0.01587972
22	16855788	0.01588043
22	16856188	0.015881970000000002
22	16858253	0.0158891
22	16858287	0.01588919
22	16858684	0.01589008
22	16858968	0.01589064
22	16862245	0.01589651
22	16863070	0.01589799
22	16865262	0.01594725
22	16870393	0.01609336
22	16871440	0.01611332
22	16877135	0.01625791
22	16878039	0.016277589999999998
22	16878423	0.01628313
22	16879530	0.01628891
22	16886974	0.01631776
22	16888577	0.01632396
22	16888900	0.01632523
22	16890125	0.01633008
22	16890296	0.01633076
22	16890307	0.01633081
22	16890816	0.016332819999999998
22	16893449	0.01634329
22	16894090	0.0163459
22	16894264	0.01634662
22	16896164	0.0163546
22	16896210	0.016354820000000003
22	16896762	0.01635779
22	16896882	0.01636006
22	16900134	0.01642217
22	16902425	0.0164826
22	16905893	0.01657616
22	16911574	0.01673904
22	16911828	0.01674651
22	16915707	0.01678997
22	16915998	0.01679635
22	16918335	0.016880660000000002
22	16918847	0.01689342
22	16918867	0.01689371
22	16937131	0.01691845
22	16938376	0.016920150000000002
22	16952978	0.01694025
22	16953120	0.01694045
22	16957305	0.016946509999999998
22	16963545	0.01695559
22	16966809	0.01696055
22	16970900	0.016967410000000002
22	16973226	0.0169716
22	16983606	0.01699079
22	16989290	0.01700217
22	16990420	0.01700441
22	16990526	0.017004619999999998
22	17030710	0.01708295
22	17030792	0.01708311
22	17031072	0.01708376
22	17032698	0.017088350000000002
22	17049825	0.01717857
22	17049907	0.01717906
22	17050088	0.01718057
22	17054720	0.01722988
22	17056022	0.01724566
22	17057138	0.01726139
22	17057597	0.01726848
22	17063359	0.01736799
22	17065079	0.01740721
22	17066732	0.01745161
22	17067504	0.01749871
22	17068748	0.01757703
22	17070109	0.01766196
22	17071043	0.01771946
22	17072483	0.01777327
22	17073066	0.01778797
22	17075353	0.01782778
22	17080378	0.01791565
22	17084609	0.017991379999999998
22	17084762	0.01799255
22	17087656	0.018010230000000002
22	17087705	0.01801054
22	17089639	0.01802287
22	17090474	0.018088200000000002
22	17093947	0.01835979
22	17094749	0.01836479
22	17096707	0.01837685
22	17096864	0.01837779
22	17097416	0.01838103
22	17099107	0.01838994
22	17100497	0.018395349999999998
22	17100911	0.01839689
22	17101987	0.01840053
22	17102604	0.0184024
22	17103078	0.01840366
22	17103717	0.01840511
22	17105666	0.01840922
22	17106294	0.01841052
22	17107266	0.01841252
22	17107330	0.01841265
22	17108619	0.01841469
22	17109150	0.01841552
22	17112280	0.01841882
22	17112342	0.01841887
22	17116233	0.01842076
22	17121886	0.01842349
22	17123478	0.018424259999999998
22	17124307	0.01842466
22	17130409	0.01842761
22	17132490	0.01842861
22	17136658	0.01843063
22	17139227	0.01843187
22	17140023	0.018432249999999997
22	17140593	0.01843253
22	17149033	0.01843661
22	17149300	0.01843699
22	17152611	0.01844613
22	17154984	0.01845323
22	17154992	0.01845332
22	17155383	0.01845999
22	17159670	0.01853712
22	17161286	0.01856619
22	17164372	0.01862966
22	17164478	0.01863187
22	17164773	0.01863812
22	17169522	0.01888043
22	17171377	0.018948069999999997
22	17173913	0.01903517
22	17175288	0.01907722
22	17177075	0.01913181
22	17177470	0.01914556
22	17177794	0.01915719
22	17177906	0.019161209999999998
22	17178015	0.01916512
22	17178213	0.01917224
22	17178230	0.01917288
